country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/12/2021,-44,2,-5,-40,-34,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/13/2021,-37,1,26,-32,-13,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/14/2021,-43,-4,43,-32,-9,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/15/2021,-33,-6,-7,-45,-45,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/16/2021,-29,2,39,-40,-44,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/17/2021,-32,-3,36,-38,-40,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/18/2021,-37,-1,2,-43,-43,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/19/2021,-38,6,43,-37,-42,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/20/2021,-37,1,92,-19,-10,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/21/2021,-38,9,126,-12,-5,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/22/2021,-32,0,27,-32,-26,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/23/2021,-30,5,55,-29,-26,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/24/2021,-27,4,92,-24,-24,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/25/2021,-35,5,26,-30,-25,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/26/2021,-37,10,27,-28,-23,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/27/2021,-37,4,27,-26,-7,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/28/2021,-40,6,81,-18,-4,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/1/2021,-30,4,25,-31,-25,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/2/2021,-28,7,63,-28,-25,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/3/2021,-27,5,56,-26,-24,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/4/2021,-40,2,-20,-36,-26,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/5/2021,-37,11,19,-28,-23,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/6/2021,-34,6,41,-25,-7,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/7/2021,-41,5,53,-24,-4,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/8/2021,-28,5,26,-31,-26,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/9/2021,-33,4,3,-33,-26,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/10/2021,-32,3,4,-32,-24,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/11/2021,-39,2,-14,-34,-25,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/12/2021,-42,7,-8,-32,-24,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/13/2021,-40,3,-20,-35,-9,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/14/2021,-48,-3,3,-34,-6,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/15/2021,-33,1,3,-33,-26,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/16/2021,-36,2,-10,-34,-26,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/17/2021,-34,2,-1,-32,-24,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/18/2021,-38,4,-4,-32,-24,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/19/2021,-37,10,32,-27,-23,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/20/2021,-36,4,56,-23,-6,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/21/2021,-46,1,21,-31,-6,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/22/2021,-32,3,17,-32,-25,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/23/2021,-29,7,49,-29,-25,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/24/2021,-21,9,66,-25,-24,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/25/2021,-26,12,23,-29,-25,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/26/2021,-29,14,28,-26,-24,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/27/2021,-52,-1,22,-34,-9,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/28/2021,-49,-6,62,-25,-7,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/29/2021,-35,-5,108,-46,-41,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/30/2021,-29,13,155,-31,-37,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/31/2021,-31,9,132,-30,-37,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/1/2021,-34,14,84,-36,-38,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/2/2021,-41,17,38,-39,-39,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/3/2021,-43,13,43,-31,-12,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/4/2021,-48,-3,47,-31,-8,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/5/2021,-65,-58,25,-65,-82,26
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/6/2021,-35,18,15,-48,-49,17
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/7/2021,-39,5,19,-45,-46,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/1/2021,-85,-78,-12,-77,-84,28
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/2/2021,-61,-32,-9,-47,-27,12
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/3/2021,-68,-34,-15,-50,-21,8
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/4/2021,-51,-15,-32,-51,-50,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/5/2021,-53,-13,-26,-53,-48,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/6/2021,-52,-12,-26,-51,-47,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/7/2021,-57,-20,-34,-53,-47,18
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/8/2021,-56,-17,-35,-49,-46,19
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/9/2021,-53,-20,1,-39,-21,11
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/10/2021,-56,-25,14,-42,-21,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/11/2021,-53,-19,-25,-49,-48,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/12/2021,-55,-16,-25,-51,-46,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/13/2021,-55,-15,-20,-49,-45,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/14/2021,-61,-22,-41,-54,-48,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/15/2021,-58,-19,-29,-48,-46,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/16/2021,-58,-25,-7,-43,-25,10
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/17/2021,-64,-28,-1,-47,-28,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/18/2021,-53,-21,-17,-49,-48,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/19/2021,-58,-21,-29,-52,-46,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/20/2021,-55,-15,-10,-49,-45,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/21/2021,-59,-19,-29,-52,-46,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/22/2021,-55,-15,-4,-45,-44,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/23/2021,-53,-19,1,-37,-23,9
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/24/2021,-62,-23,12,-43,-27,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/25/2021,-53,-19,-7,-48,-48,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/26/2021,-54,-16,-1,-49,-45,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/27/2021,-56,-16,-23,-49,-45,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/28/2021,-58,-17,-33,-50,-46,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/29/2021,-54,-12,-22,-44,-45,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/30/2021,-55,-19,-34,-40,-24,11
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,1/31/2021,-58,-21,1,-39,-26,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/1/2021,-51,-16,-18,-46,-47,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/2/2021,-53,-9,-16,-48,-45,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/3/2021,-55,-14,-21,-48,-45,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/4/2021,-54,-10,-4,-47,-45,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/5/2021,-53,-8,-2,-43,-43,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/6/2021,-53,-14,-13,-36,-22,10
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/7/2021,-64,-25,12,-45,-29,8
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/8/2021,-56,-20,-5,-46,-51,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/9/2021,-53,-10,12,-48,-47,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/10/2021,-55,-10,-16,-49,-46,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/11/2021,-55,-8,-11,-49,-46,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/12/2021,-54,-9,-16,-45,-45,18
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/13/2021,-48,-11,23,-32,-24,9
