country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/15/2020,3,2,29,9,1,-1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/16/2020,-7,-3,-30,-3,-3,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/17/2020,1,2,8,4,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/18/2020,3,3,18,6,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/19/2020,3,1,13,5,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/20/2020,-2,-1,4,3,3,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/21/2020,0,3,15,7,2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/22/2020,-4,0,0,2,-2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/23/2020,-7,-7,-27,-2,-4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/24/2020,7,0,7,-11,-24,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/25/2020,10,2,29,-8,-23,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/26/2020,-1,-5,-4,-11,-21,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/27/2020,-2,-2,-15,-15,-23,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/28/2020,-1,3,3,-10,-23,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/29/2020,-4,2,-7,-2,-5,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/1/2020,0,6,-2,5,-1,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/2/2020,-4,7,-12,0,3,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/3/2020,2,6,11,1,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/4/2020,1,4,7,1,4,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/5/2020,-4,1,-16,-2,2,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/6/2020,-1,5,2,3,2,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/7/2020,5,3,33,8,2,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/8/2020,-1,1,-21,-2,-1,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/9/2020,-1,4,6,-1,2,0
