country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Wallonia,Liege,7/18/2020,-21.0,-14.0,131.0,5,-1.0,1
BE,Belgium,Wallonia,Liege,7/19/2020,0.0,-4.0,167.0,19,9.0,-2
BE,Belgium,Wallonia,Liege,7/20/2020,12.0,4.0,108.0,-22,-54.0,10
BE,Belgium,Wallonia,Liege,7/21/2020,-32.0,-58.0,187.0,-26,-72.0,15
BE,Belgium,Wallonia,Liege,7/22/2020,-3.0,-3.0,115.0,-17,-42.0,7
BE,Belgium,Wallonia,Liege,7/23/2020,-4.0,-7.0,121.0,-17,-44.0,8
BE,Belgium,Wallonia,Liege,7/24/2020,-18.0,-6.0,78.0,-22,-43.0,11
BE,Belgium,Wallonia,Liege,7/25/2020,-24.0,-12.0,103.0,-5,-4.0,4
BE,Belgium,Wallonia,Liege,7/26/2020,-13.0,-10.0,106.0,7,6.0,1
BE,Belgium,Wallonia,Liege,7/27/2020,-3.0,-7.0,97.0,-23,-47.0,10
