country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Wallonia,Liege,7/8/2020,-9.0,-11.0,6.0,-29,-36.0,8
BE,Belgium,Wallonia,Liege,7/9/2020,0.0,-7.0,50.0,-18,-36.0,8
BE,Belgium,Wallonia,Liege,7/10/2020,-12.0,-6.0,39.0,-21,-35.0,9
BE,Belgium,Wallonia,Liege,7/11/2020,-16.0,-12.0,93.0,2,2.0,2
BE,Belgium,Wallonia,Liege,7/12/2020,5.0,-5.0,135.0,19,10.0,-1
BE,Belgium,Wallonia,Liege,7/13/2020,3.0,-7.0,90.0,-17,-41.0,7
BE,Belgium,Wallonia,Liege,7/14/2020,0.0,-6.0,67.0,-22,-41.0,8
BE,Belgium,Wallonia,Liege,7/15/2020,-4.0,-11.0,72.0,-19,-38.0,7
BE,Belgium,Wallonia,Liege,7/16/2020,-6.0,-10.0,29.0,-27,-41.0,10
BE,Belgium,Wallonia,Liege,7/17/2020,-15.0,-8.0,73.0,-19,-39.0,9
